relatedNote-id	Species-Zoonoses_jpn	Species-ZoonosesCategory_jpn	Category_jpn	Note_jpn	Species-Zoonoses_eng	Species-ZoonosesCategory_eng	Category_eng	Note	NoteTextAE-span	PubMed-id	Registered	LastUpdated
relatedNote-id_15	人獣共通感染症		その他	センザンコウが食料とするシロアリは、伝統薬にもなっている（オオキノコシロアリ）（消化器疾患、ヘビ咬傷、下痢などの感染症や炎症性疾患薬）（TNFα放出とIL-8放出を阻害）（サハラ以南のアフリカ（ベナン共和国））。	zoonoses		Others	Termites (also their mound and fungus comb), eaten by pangolins, used as traditional medicine (Macrotermes bellicosus) (infectious and inflammatory diseases including digestive disorders, snake bites and diarrhea) (in sub-Saharan Africa (Benin)).	https://pubannotation.org/projects/Zoonoses/docs/sourcedb/PubMed/sourceid/26155072/spans/78-294	26155072	2021-08-22	2021-09-29
relatedNote-id_16	オオキノコシロアリ	シロアリ科	その他	シロアリ抽出物はLPS誘導性TNFα放出とサイトカイン誘導性IL-8放出の両方を阻害（ブデソニドに匹敵）。	Macrotermes bellicosus	Termitidae	Others	Termites' extract inhibited both LPS-induced TNFα release and cytokine-induced IL-8 release (comparable to budesonide).	https://pubannotation.org/projects/Zoonoses/docs/sourcedb/PubMed/sourceid/32097700/spans/951-1174	32097700	2021-08-22	2021-09-29
relatedNote-id_17	オオキノコシロアリ	シロアリ科	その他	シロアリ抽出物はLPS誘導性TNFα放出とサイトカイン誘導性IL-8放出の両方を阻害（ブデソニドに匹敵）。	Macrotermes bellicosus	Termitidae	Others	Termites' extract inhibited both LPS-induced TNFα release and cytokine-induced IL-8 release (comparable to budesonide).	https://pubannotation.org/projects/Zoonoses/docs/sourcedb/PubMed/sourceid/32097700/spans/1654-1848	32097700	2021-08-22	2021-09-29
relatedNote-id_20	人獣共通感染症		その他	シロアリ抽出物はLPS誘導性TNFα放出とサイトカイン誘導性IL-8放出の両方を阻害（ブデソニドに匹敵）。	zoonoses		Others	Termites' extract inhibited both LPS-induced TNFα release and cytokine-induced IL-8 release (comparable to budesonide).	https://pubannotation.org/projects/Zoonoses/docs/sourcedb/PubMed/sourceid/32097700/spans/951-1174	32097700	2021-08-22	2021-09-29
relatedNote-id_21	人獣共通感染症		その他	シロアリ抽出物はLPS誘導性TNFα放出とサイトカイン誘導性IL-8放出の両方を阻害（ブデソニドに匹敵）。	zoonoses		Others	Termites' extract inhibited both LPS-induced TNFα release and cytokine-induced IL-8 release (comparable to budesonide).	https://pubannotation.org/projects/Zoonoses/docs/sourcedb/PubMed/sourceid/32097700/spans/1654-1848	32097700	2021-08-22	2021-09-29
relatedNote-id_22	オオキノコシロアリ	シロアリ科	その他	高濃度シロアリ抽出物は、小腸の収縮を抑制し、基底緊張を緩和。	Macrotermes bellicosus	Termitidae	Others	High concentration termite extract suppressed intestinal contractions and relaxed its basal tone.	https://pubannotation.org/projects/Zoonoses/docs/sourcedb/PubMed/sourceid/32097700/spans/1189-1375	32097700	2021-08-22	2021-09-29
relatedNote-id_23	オオキノコシロアリ	シロアリ科	その他	高濃度シロアリ抽出物は、小腸の収縮を抑制し、基底緊張を緩和。	Macrotermes bellicosus	Termitidae	Others	High concentration termite extract suppressed intestinal contractions and relaxed its basal tone.	https://pubannotation.org/projects/Zoonoses/docs/sourcedb/PubMed/sourceid/32097700/spans/1863-2103	32097700	2021-08-22	2021-09-29
relatedNote-id_24	シロアリ	シロアリ科	その他	センザンコウが食料とするシロアリの、巣や塚は、多くの病原体を媒介するサシチョウバエ（sand fly）の休息地や繁殖地となっている（フレボトミンサシチョウバエ）（リーシュマニア症の流行地（ケニア））。	Termites	Termitidae	Others	Mounds and houses of termites, eaten by pangolins, are utilized by different sand flies as resting or breeding habitats. They transmit many pathogens (Phlebotomine sand flies) (in leishmaniasis hotspots (Kenya)).	https://pubannotation.org/projects/Zoonoses/docs/sourcedb/PubMed/sourceid/26155072/spans/78-294	26155072	2021-08-22	2021-09-29
relatedNote-id_25	センザンコウ	鱗甲目	その他	センザンコウが食料とするシロアリの、巣や塚は、多くの病原体を媒介するサシチョウバエ（sand fly）の休息地や繁殖地となっている（フレボトミンサシチョウバエ）（リーシュマニア症の流行地（ケニア））。	Pangolins	Pholidota	Others	Mounds and houses of termites, eaten by pangolins, are utilized by different sand flies as resting or breeding habitats. They transmit many pathogens (Phlebotomine sand flies) (in leishmaniasis hotspots (Kenya)).	https://pubannotation.org/projects/Zoonoses/docs/sourcedb/PubMed/sourceid/26155072/spans/78-294	26155072	2021-08-22	2021-09-29
relatedNote-id_26	人獣共通感染症		その他	センザンコウが食料とするシロアリの、巣や塚は、多くの病原体を媒介するサシチョウバエ（sand fly）の休息地や繁殖地となっている（フレボトミンサシチョウバエ）（リーシュマニア症の流行地（ケニア））。	zoonoses		Others	Mounds and houses of termites, eaten by pangolins, are utilized by different sand flies as resting or breeding habitats. They transmit many pathogens (Phlebotomine sand flies) (in leishmaniasis hotspots (Kenya)).	https://pubannotation.org/projects/Zoonoses/docs/sourcedb/PubMed/sourceid/26155072/spans/78-294	26155072	2021-08-22	2021-09-29
relatedNote-id_28	シロアリ	シロアリ科	その他	センザンコウが食料とするシロアリの、巣や塚は、多くの病原体を媒介するサシチョウバエ（sand fly）の休息地や繁殖地となっている（フレボトミンサシチョウバエ）（リーシュマニア症の流行地（ケニア））。	Termites	Termitidae	Others	Mounds and houses of termites, eaten by pangolins, are utilized by different sand flies as resting or breeding habitats. They transmit many pathogens (Phlebotomine sand flies) (in leishmaniasis hotspots (Kenya)).	https://pubannotation.org/projects/Zoonoses/docs/sourcedb/PubMed/sourceid/33524028/spans/159-264	33524028	2021-08-22	2021-09-29
relatedNote-id_29	詳細未記載	家畜	その他	家畜小屋は、多くの病原体を媒介するサシチョウバエ（sand fly）の休息地や繁殖地となっている（フレボトミンサシチョウバエ）（リーシュマニア症の流行地（ケニア））。	Details not written	Domestic animals 	Others	Animal sheds are utilized by different sand flies as resting or breeding habitats. They transmit many pathogens (Phlebotomine sand flies) (in leishmaniasis hotspots (Kenya)).	https://pubannotation.org/projects/Zoonoses/docs/sourcedb/PubMed/sourceid/33524028/spans/159-264	33524028	2021-08-22	2021-09-29
relatedNote-id_30	人獣共通感染症		その他	センザンコウが食料とするシロアリの、巣や塚は、多くの病原体を媒介するサシチョウバエ（sand fly）の休息地や繁殖地となっている（フレボトミンサシチョウバエ）（リーシュマニア症の流行地（ケニア））。	zoonoses		Others	Mounds and houses of termites, eaten by pangolins, are utilized by different sand flies as resting or breeding habitats. They transmit many pathogens (Phlebotomine sand flies) (in leishmaniasis hotspots (Kenya)).	https://pubannotation.org/projects/Zoonoses/docs/sourcedb/PubMed/sourceid/33524028/spans/159-264	33524028	2021-08-22	2021-09-29
relatedNote-id_31	フレボトミンサシチョウバエ	サシチョウバエ	その他	センザンコウが食料とするシロアリの、巣や塚は、多くの病原体を媒介するサシチョウバエ（sand fly）の休息地や繁殖地となっている（フレボトミンサシチョウバエ）（リーシュマニア症の流行地（ケニア））。	Phlebotomine sand flies	Sand flies	Others	Mounds and houses of termites, eaten by pangolins, are utilized by different sand flies as resting or breeding habitats. They transmit many pathogens (Phlebotomine sand flies) (in leishmaniasis hotspots (Kenya)).	https://pubannotation.org/projects/Zoonoses/docs/sourcedb/PubMed/sourceid/33524028/spans/159-264	33524028	2021-08-22	2021-09-29
relatedNote-id_32	シロアリ	シロアリ科	その他	センザンコウが食料とするシロアリの、巣や塚は、多くの病原体を媒介するサシチョウバエ（sand fly）の休息地や繁殖地となっている（フレボトミンサシチョウバエ）（リーシュマニア症の流行地（ケニア））。	Termites	Termitidae	Others	Mounds and houses of termites, eaten by pangolins, are utilized by different sand flies as resting or breeding habitats. They transmit many pathogens (Phlebotomine sand flies) (in leishmaniasis hotspots (Kenya)).	https://pubannotation.org/projects/Zoonoses/docs/sourcedb/PubMed/sourceid/33524028/spans/427-581	33524028	2021-08-22	2021-09-29
relatedNote-id_33	詳細未記載	家畜	その他	家畜小屋は、多くの病原体を媒介するサシチョウバエ（sand fly）の休息地や繁殖地となっている（フレボトミンサシチョウバエ）（リーシュマニア症の流行地（ケニア））。	Details not written	Domestic animals 	Others	Animal sheds are utilized by different sand flies as resting or breeding habitats. They transmit many pathogens (Phlebotomine sand flies) (in leishmaniasis hotspots (Kenya)).	https://pubannotation.org/projects/Zoonoses/docs/sourcedb/PubMed/sourceid/33524028/spans/427-581	33524028	2021-08-22	2021-09-29
relatedNote-id_34	人獣共通感染症		その他	センザンコウが食料とするシロアリの、巣や塚は、多くの病原体を媒介するサシチョウバエ（sand fly）の休息地や繁殖地となっている（フレボトミンサシチョウバエ）（リーシュマニア症の流行地（ケニア））。	zoonoses		Others	Mounds and houses of termites, eaten by pangolins, are utilized by different sand flies as resting or breeding habitats. They transmit many pathogens (Phlebotomine sand flies) (in leishmaniasis hotspots (Kenya)).	https://pubannotation.org/projects/Zoonoses/docs/sourcedb/PubMed/sourceid/33524028/spans/427-581	33524028	2021-08-22	2021-09-29
relatedNote-id_35	フレボトミンサシチョウバエ	サシチョウバエ	その他	センザンコウが食料とするシロアリの、巣や塚は、多くの病原体を媒介するサシチョウバエ（sand fly）の休息地や繁殖地となっている（フレボトミンサシチョウバエ）（リーシュマニア症の流行地（ケニア））。	Phlebotomine sand flies	Sand flies	Others	Mounds and houses of termites, eaten by pangolins, are utilized by different sand flies as resting or breeding habitats. They transmit many pathogens (Phlebotomine sand flies) (in leishmaniasis hotspots (Kenya)).	https://pubannotation.org/projects/Zoonoses/docs/sourcedb/PubMed/sourceid/33524028/spans/427-581	33524028	2021-08-22	2021-09-29
relatedNote-id_36	シロアリ	シロアリ科	その他	センザンコウが食料とするシロアリの、巣や塚は、多くの病原体を媒介するサシチョウバエ（sand fly）の休息地や繁殖地となっている（フレボトミンサシチョウバエ）（リーシュマニア症の流行地（ケニア））。	Termites	Termitidae	Others	Mounds and houses of termites, eaten by pangolins, are utilized by different sand flies as resting or breeding habitats. They transmit many pathogens (Phlebotomine sand flies) (in leishmaniasis hotspots (Kenya)).	https://pubannotation.org/projects/Zoonoses/docs/sourcedb/PubMed/sourceid/33524028/spans/868-1044	33524028	2021-08-22	2021-09-29
relatedNote-id_37	詳細未記載	家畜	その他	家畜小屋は、多くの病原体を媒介するサシチョウバエ（sand fly）の休息地や繁殖地となっている（フレボトミンサシチョウバエ）（リーシュマニア症の流行地（ケニア））。	Details not written	Domestic animals 	Others	Animal sheds are utilized by different sand flies as resting or breeding habitats. They transmit many pathogens (Phlebotomine sand flies) (in leishmaniasis hotspots (Kenya)).	https://pubannotation.org/projects/Zoonoses/docs/sourcedb/PubMed/sourceid/33524028/spans/868-1044	33524028	2021-08-22	2021-09-29
relatedNote-id_38	人獣共通感染症		その他	センザンコウが食料とするシロアリの、巣や塚は、多くの病原体を媒介するサシチョウバエ（sand fly）の休息地や繁殖地となっている（フレボトミンサシチョウバエ）（リーシュマニア症の流行地（ケニア））。	zoonoses		Others	Mounds and houses of termites, eaten by pangolins, are utilized by different sand flies as resting or breeding habitats. They transmit many pathogens (Phlebotomine sand flies) (in leishmaniasis hotspots (Kenya)).	https://pubannotation.org/projects/Zoonoses/docs/sourcedb/PubMed/sourceid/33524028/spans/868-1044	33524028	2021-08-22	2021-09-29
relatedNote-id_39	フレボトミンサシチョウバエ	サシチョウバエ	その他	センザンコウが食料とするシロアリの、巣や塚は、多くの病原体を媒介するサシチョウバエ（sand fly）の休息地や繁殖地となっている（フレボトミンサシチョウバエ）（リーシュマニア症の流行地（ケニア））。	Phlebotomine sand flies	Sand flies	Others	Mounds and houses of termites, eaten by pangolins, are utilized by different sand flies as resting or breeding habitats. They transmit many pathogens (Phlebotomine sand flies) (in leishmaniasis hotspots (Kenya)).	https://pubannotation.org/projects/Zoonoses/docs/sourcedb/PubMed/sourceid/33524028/spans/868-1044	33524028	2021-08-22	2021-09-29
relatedNote-id_40	リーシュマニア症		発生地域	ケニア。	Leishmaniasis		Endemic areas	Kenya.	https://pubannotation.org/projects/Zoonoses/docs/sourcedb/PubMed/sourceid/33524028/spans/868-1044	33524028	2021-08-22	2021-09-29
relatedNote-id_41	フレボトミンサシチョウバエ	サシチョウバエ	その他	多くの病原体を媒介する（フレボトミンサシチョウバエ）（リーシュマニア症の流行地（ケニア））。	Phlebotomine sand flies	Sand flies	Others	Transmit many pathogens (Phlebotomine sand flies) (in leishmaniasis hotspots (Kenya)).	https://pubannotation.org/projects/Zoonoses/docs/sourcedb/PubMed/sourceid/33524028/spans/159-264	33524028	2021-08-22	2021-09-29
relatedNote-id_42	フレボトミンサシチョウバエ	サシチョウバエ	その他	多くの病原体を媒介する（フレボトミンサシチョウバエ）（リーシュマニア症の流行地（ケニア））。	Phlebotomine sand flies	Sand flies	Others	Transmit many pathogens (Phlebotomine sand flies) (in leishmaniasis hotspots (Kenya)).	https://pubannotation.org/projects/Zoonoses/docs/sourcedb/PubMed/sourceid/33524028/spans/868-1044	33524028	2021-08-22	2021-09-29
relatedNote-id_43	フレボトミンサシチョウバエ	サシチョウバエ	その他	多くの病原体を媒介する（フレボトミンサシチョウバエ）（リーシュマニア症の流行地（ケニア））。	Phlebotomine sand flies	Sand flies	Others	Transmit many pathogens (Phlebotomine sand flies) (in leishmaniasis hotspots (Kenya)).	https://pubannotation.org/projects/Zoonoses/docs/sourcedb/PubMed/sourceid/33524028/spans/1046-1150	33524028	2021-08-22	2021-09-29
relatedNote-id_44	フレボトミンサシチョウバエ	サシチョウバエ	その他	休息地や繁殖地は動物小屋、シロアリの巣や塚（人間の住居（家）には作らない）。	Phlebotomine sand flies	Sand flies	Others	Resting or breeding habitats in animal sheds, mounds and houses of termites (not in human dwelling (house)).	https://pubannotation.org/projects/Zoonoses/docs/sourcedb/PubMed/sourceid/33524028/spans/427-581	33524028	2021-08-22	2021-09-29
relatedNote-id_45	フレボトミンサシチョウバエ	サシチョウバエ	その他	休息地や繁殖地は動物小屋、シロアリの巣や塚（人間の住居（家）には作らない）。	Phlebotomine sand flies	Sand flies	Others	Resting or breeding habitats in animal sheds, mounds and houses of termites (not in human dwelling (house)).	https://pubannotation.org/projects/Zoonoses/docs/sourcedb/PubMed/sourceid/33524028/spans/1152-1263	33524028	2021-08-22	2021-09-29
relatedNote-id_46	フレボトミンサシチョウバエ	サシチョウバエ	その他	休息地や繁殖地は動物小屋、シロアリの巣や塚（人間の住居（家）には作らない）。	Phlebotomine sand flies	Sand flies	Others	Resting or breeding habitats in animal sheds, mounds and houses of termites (not in human dwelling (house)).	https://pubannotation.org/projects/Zoonoses/docs/sourcedb/PubMed/sourceid/33524028/spans/1265-1433	33524028	2021-08-22	2021-09-29
relatedNote-id_47	フレボトミンサシチョウバエ	サシチョウバエ	その他	誘因揮発性物質（1-オクテン-3-オール、6-メチル-5-ヘプテン-2-オン、α-ピネン、ベンジルアルコール、m-クレゾール、p-クレゾール、デカナール）（その他の吸血虫でも）。	Phlebotomine sand flies	Sand flies	Others	Attractive volatiles; 1-octen-3-ol, 6-methyl-5-hepten-2-one, α-pinene, benzyl alcohol, m-cresol, p-cresol and decanal (also for other blood-feeding insects).	https://pubannotation.org/projects/Zoonoses/docs/sourcedb/PubMed/sourceid/33524028/spans/1436-1668	33524028	2021-08-22	2021-09-29
relatedNote-id_48	フレボトミンサシチョウバエ	サシチョウバエ	その他	誘因揮発性物質（1-オクテン-3-オール、6-メチル-5-ヘプテン-2-オン、α-ピネン、ベンジルアルコール、m-クレゾール、p-クレゾール、デカナール）（その他の吸血虫でも）。	Phlebotomine sand flies	Sand flies	Others	Attractive volatiles; 1-octen-3-ol, 6-methyl-5-hepten-2-one, α-pinene, benzyl alcohol, m-cresol, p-cresol and decanal (also for other blood-feeding insects).	https://pubannotation.org/projects/Zoonoses/docs/sourcedb/PubMed/sourceid/33524028/spans/1683-1974	33524028	2021-08-22	2021-09-29
relatedNote-id_49	フレボトミンサシチョウバエ	サシチョウバエ	その他	誘因揮発性物質（1-オクテン-3-オール、6-メチル-5-ヘプテン-2-オン、α-ピネン、ベンジルアルコール、m-クレゾール、p-クレゾール、デカナール）（その他の吸血虫でも）。	Phlebotomine sand flies	Sand flies	Others	Attractive volatiles; 1-octen-3-ol, 6-methyl-5-hepten-2-one, α-pinene, benzyl alcohol, m-cresol, p-cresol and decanal (also for other blood-feeding insects).	https://pubannotation.org/projects/Zoonoses/docs/sourcedb/PubMed/sourceid/33524028/spans/1976-2303	33524028	2021-08-22	2021-09-29
relatedNote-id_50	エボラウイルス病		発生地域	サハラ以南の（西）アフリカ諸国（コンゴ共和国、ガボン共和国、シエラレオネ共和国、ギニア共和国、リベリア共和国、ナイジェリア連邦共和国）。輸入（ヨーロッパやアメリカ）。	Ebola virus disease		Endemic areas	Sub-Saharan (West) African countries (Republic of the Congo, Gabon, Sierra Leone, Guinea, Liberia, Nigeria). Travel related; Europe and America.	https://pubannotation.org/projects/Zoonoses/docs/sourcedb/PubMed/sourceid/26938950/spans/98-306	26938950	2021-08-22	2021-09-29
relatedNote-id_51	エボラウイルス病		有症状率/死亡者数	14,122症例（うち62%確定）、3,955死亡（2014年の西アフリカでのアウトブレイクにおけるシエラレオネ共和国国内）（2016年2月17日現在）。	Ebola virus disease		Prevalence/Mortality	14,122 cases (62% confirmed) and 3,955 deaths (in Sierra Leone since the epidemic in West Africa began in 2014) (as of February 17, 2016).	https://pubannotation.org/projects/Zoonoses/docs/sourcedb/PubMed/sourceid/26938950/spans/98-306	26938950	2021-08-22	2021-09-29
relatedNote-id_52	エボラウイルス病		予防法	死体との接触を制限し、適切な防護具を備え訓練を受けた専門団による安全で威厳のある埋葬の促進と実施（アフリカの伝統的な葬儀は、ウイルス量が多いときに、感染した体、体液、汚染された衣服、その他身の回り品に接触する風習があり、これが、感染症の伝播に繋がってしまう）。	Ebola virus disease		Prevention	Limiting contact with potentially infectious corpses, promotion and implementation of safe and dignified burials by trained teams with appropriate protective equipment (e.g., traditional funeral in Africa; contact with infected bodies, body fluids, contaminated clothing, and other personal items during high viral load (cause transmission)).	https://pubannotation.org/projects/Zoonoses/docs/sourcedb/PubMed/sourceid/26938950/spans/308-507	26938950	2021-08-22	2021-09-29
relatedNote-id_53	エボラウイルス病		予防法	死体との接触を制限し、適切な防護具を備え訓練を受けた専門団による安全で威厳のある埋葬の促進と実施（アフリカの伝統的な葬儀は、ウイルス量が多いときに、感染した体、体液、汚染された衣服、その他身の回り品に接触する風習があり、これが、感染症の伝播に繋がってしまう）。	Ebola virus disease		Prevention	Limiting contact with potentially infectious corpses, promotion and implementation of safe and dignified burials by trained teams with appropriate protective equipment (e.g., traditional funeral in Africa; contact with infected bodies, body fluids, contaminated clothing, and other personal items during high viral load (cause transmission)).	https://pubannotation.org/projects/Zoonoses/docs/sourcedb/PubMed/sourceid/26938950/spans/509-718	26938950	2021-08-22	2021-09-29
relatedNote-id_54	人獣共通感染症		予防法	死体との接触を制限し、適切な防護具を備え訓練を受けた専門団による安全で威厳のある埋葬の促進と実施（アフリカの伝統的な葬儀は、ウイルス量が多いときに、感染した体、体液、汚染された衣服、その他身の回り品に接触する風習があり、これが、感染症の伝播に繋がってしまう）。	zoonoses		Prevention	Limiting contact with potentially infectious corpses, promotion and implementation of safe and dignified burials by trained teams with appropriate protective equipment (e.g., traditional funeral in Africa; contact with infected bodies, body fluids, contaminated clothing, and other personal items during high viral load (cause transmission)).	https://pubannotation.org/projects/Zoonoses/docs/sourcedb/PubMed/sourceid/26938950/spans/308-507	26938950	2021-08-22	2021-09-29
relatedNote-id_55	人獣共通感染症		予防法	死体との接触を制限し、適切な防護具を備え訓練を受けた専門団による安全で威厳のある埋葬の促進と実施（アフリカの伝統的な葬儀は、ウイルス量が多いときに、感染した体、体液、汚染された衣服、その他身の回り品に接触する風習があり、これが、感染症の伝播に繋がってしまう）。	zoonoses		Prevention	Limiting contact with potentially infectious corpses, promotion and implementation of safe and dignified burials by trained teams with appropriate protective equipment (e.g., traditional funeral in Africa; contact with infected bodies, body fluids, contaminated clothing, and other personal items during high viral load (cause transmission)).	https://pubannotation.org/projects/Zoonoses/docs/sourcedb/PubMed/sourceid/26938950/spans/509-718	26938950	2021-08-22	2021-09-29
relatedNote-id_56	エボラウイルス病		感染経路	ヒト→ヒト；（ウイルス量が多いときに、）感染した体、体液、汚染された衣服、その他身の回り品に接触する風習があり、これが、感染症の伝播に繋がってしまう（例、アフリカの伝統的な葬儀）。	Ebola virus disease		Route of transmission	Human to human; contact with infected bodies, body fluids, contaminated clothing, and other personal items (during high viral load) cause transmission (e.g., traditional funeral in Africa).	https://pubannotation.org/projects/Zoonoses/docs/sourcedb/PubMed/sourceid/26938950/spans/509-718	26938950	2021-08-22	2021-09-29
relatedNote-id_57	人獣共通感染症		感染経路	ウイルス性疾患；ヒト→ヒト；（ウイルス量が多いときに、）感染した体、体液、汚染された衣服、その他身の回り品に接触する風習があり、これが、感染症の伝播に繋がってしまう（例、アフリカの伝統的な葬儀）。	zoonoses		Route of transmission	Viral diseases; human to human; contact with infected bodies, body fluids, contaminated clothing, and other personal items (during high viral load) cause transmission (e.g., traditional funeral in Africa).	https://pubannotation.org/projects/Zoonoses/docs/sourcedb/PubMed/sourceid/26938950/spans/509-718	26938950	2021-08-22	2021-09-29
